highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,theta,delta,meditationValue
4089,5263,1483,2589,5813,1237,12975,147057,47
63094,215937,40217,114950,94144,18956,1167663,1962804,43
21958,306154,31275,11999,21997,12562,138562,2343989,54
95730,10702,27209,53792,9793,24847,105312,73228,53
1534,4268,8034,1674,4719,5040,10992,9165,48
6217,4199,5732,5362,2799,5160,5429,15341,54
8845,4369,4282,8064,3835,4999,29242,12528,41
919,1286,1201,699,1569,826,10721,65696,34
1508,4707,1180,1495,917,1308,35344,78198,29
7398,7643,3643,3115,2861,2948,5450,14371,35
14275,6773,4627,1228,3193,6422,4799,2391,50
2962,8286,1802,1150,1203,1046,70170,91728,48
6826,7997,3243,9839,4945,3269,4137,7696,60
18715,8837,6253,5779,1730,3150,45747,52868,53
8431,4962,1219,1375,829,402,29695,201605,41
10736,5084,11277,4929,7459,1737,16196,13276,50
9813,5966,4462,9786,3140,3999,2158,4017,51
365,1077,1677,2243,1138,2098,3000,58252,44
8618,14876,7538,11696,8334,19720,5972,5437,51
3538,9464,593,1474,1061,1627,20685,51960,51
9152,18320,5283,12517,3173,5322,19584,29789,50
13901,7341,3990,2925,9831,7359,25548,20530,57
7461,1179,7782,8596,1924,2557,10486,5441,50
35037,19522,5137,8085,4368,7133,51213,604871,53
6799,3816,4702,1741,1311,2134,52320,100420,43
1789,4783,1498,1463,1163,891,23685,88778,37
5009,1801,2891,3936,1941,692,18190,275296,35
14799,4315,6774,5629,10535,7704,5735,14513,37
7022,23399,6572,5024,6383,5548,14034,14029,50
15293,924,6349,13465,12020,8711,9331,9493,56
3425,15044,9190,6200,8556,9148,14422,11460,63
9236,2994,7179,3678,15576,6707,5506,5955,60
1608,5186,5052,1709,1604,2112,15033,76245,50
3394,5024,2660,4832,1173,2748,34659,101976,43
8024,583,2270,3725,1421,2677,5161,47300,44
10072,16379,14058,3517,12088,12366,27507,11756,43
5835,1370,4126,4959,2437,2331,8366,221762,44
3153,9533,10579,6845,23113,12796,243855,387729,34
2965,1304,2224,4431,4434,3170,24457,348666,20
14823,18394,11122,8868,8196,11680,110647,115926,14
6255,5263,13833,14205,12544,12726,40251,24305,8
28682,29649,16294,8061,9765,12667,112820,89153,24
16615,9388,5246,4357,7167,9131,2418,17990,44
4680,5111,6018,3299,3620,3858,15779,15790,48
5290,2587,2292,1856,935,1662,31853,61691,50
706,814,992,1173,516,665,31163,222129,34
2886,4058,1963,3181,1441,841,35801,73111,13
17741,11453,10128,20531,3471,9827,21941,14414,16
21474,10741,3783,6659,4558,7773,260407,278560,11
23623,28100,19245,4683,29360,13540,223559,248326,23
9169,7870,5326,4528,6235,19501,34329,6407,29
6110,6487,2922,2668,1080,1918,25389,102913,26
8659,678,5048,3053,4983,6202,25774,19472,34
3551,4419,4929,2901,11908,19807,10143,17574,40
7351,4174,8922,21724,6276,11244,24955,5907,35
1439,8598,976,820,3122,1586,43827,44336,29
2572,1069,1100,1954,669,688,2539,120793,38
2380,3863,4231,2361,3162,2426,23090,927519,30
2501,3357,2343,4098,978,698,114486,518382,20
6576,4005,9411,8079,7129,6766,27605,107478,21
17008,28962,26200,12983,16585,9046,114346,868712,14
14311,11256,6176,7787,1643,3231,136872,261685,11
4901,10223,8212,12998,4223,3657,23218,48423,26
5008,1262,2048,8661,2034,1519,10954,2491,29
13927,14679,2393,3837,3260,2095,91583,17757,29
